reg_type,mode,sparsity,accuracy,lambda,compress_ratio,K,epsilon
L1,kernel-wise,8.823093455866005,90.31,0.003,0.2,100,0.0001
L1,kernel-wise,19.87820845376615,90.14,0.003,0.2,100,0.0001
L1,kernel-wise,24.02356777588379,90.15,0.003,0.2,100,0.0001
L1,kernel-wise,24.25331653449937,89.73,0.003,0.2,100,0.0001
L1,kernel-wise,33.8644729365844,90.14,0.003,0.2,100,0.0001
L1,kernel-wise,52.87185948269473,89.78,0.003,0.2,100,0.0001
L1,kernel-wise,67.76229649941945,88.99,0.003,0.2,100,0.0001
L1,kernel-wise,76.26053015143654,89.17,0.003,0.2,100,0.0001
L1,kernel-wise,87.35517181748561,87.2,0.003,0.2,100,0.0001
L1,kernel-wise,89.31050668247732,87.49,0.003,0.2,100,0.0001
L1,kernel-wise,90.18503421527213,87.66,0.003,0.2,100,0.0001
L1,kernel-wise,91.28436967316388,87.83,0.003,0.2,100,0.0001
L1,kernel-wise,92.01808345067812,87.74,0.003,0.2,100,0.0001
L1,kernel-wise,93.00254452926208,87.52,0.003,0.2,100,0.0001
L1,kernel-wise,93.60285580177376,87.55,0.003,0.2,100,0.0001
L1,kernel-wise,96.5599446626646,86.72,0.003,0.2,100,0.0001
L1,weight-wise,10.553620395760763,90.32,0.003,0.2,100,0.0001
L1,weight-wise,27.70942958077028,90.25,0.003,0.2,100,0.0001
L1,weight-wise,36.86726450752242,90.45,0.003,0.2,100,0.0001
L1,weight-wise,40.04916129351022,90.79,0.003,0.2,100,0.0001
L1,weight-wise,41.03732799723313,90.72,0.003,0.2,100,0.0001
L1,weight-wise,41.27448800612664,90.46,0.003,0.2,100,0.0001
L1,weight-wise,66.89023938338397,88.23,0.003,0.2,100,0.0001
L1,weight-wise,72.17199041478297,88.92,0.003,0.2,100,0.0001
L1,weight-wise,74.67822821710023,87.91,0.003,0.2,100,0.0001
L1,weight-wise,76.95842288594086,88.2,0.003,0.2,100,0.0001
L1,weight-wise,85.98409051607007,87.58,0.003,0.2,100,0.0001
L1,weight-wise,89.07211146520419,88.35,0.003,0.2,100,0.0001
L1,weight-wise,90.6655302749574,89.14,0.003,0.2,100,0.0001
L1,weight-wise,92.17248449813484,87.84,0.003,0.2,100,0.0001
L1,weight-wise,92.48128659304824,88.25,0.003,0.2,100,0.0001
L1,weight-wise,92.66162701647768,87.73,0.003,0.2,100,0.0001
L1,weight-wise,94.79359667975989,86.64,0.003,0.2,100,0.0001
L1,weight-wise,95.69529879690704,86.29,0.003,0.2,100,0.0001
L1,channel-wise,9.92242891375775,90.45,0.003,0.2,100,0.0001
L1,channel-wise,36.79562242150251,89.94,0.003,0.2,100,0.0001
L1,channel-wise,53.49811013117913,90.24,0.003,0.2,100,0.0001
L1,channel-wise,60.90071395044344,89.64,0.003,0.2,100,0.0001
L1,channel-wise,68.65164653277009,89.55,0.003,0.2,100,0.0001
L1,channel-wise,71.86689394500853,89.43,0.003,0.2,100,0.0001
L1,channel-wise,78.26650855999408,89.01,0.003,0.2,100,0.0001
L1,channel-wise,82.92200894290866,88.22,0.003,0.2,100,0.0001
L1,channel-wise,87.66397391239902,88.5,0.003,0.2,100,0.0001
L1,channel-wise,91.61911114405,86.5,0.003,0.2,100,0.0001
L1,channel-wise,92.18854220707033,87.25,0.003,0.2,100,0.0001
L1,channel-wise,92.93337286000148,87.68,0.003,0.2,100,0.0001
L1,channel-wise,94.08582227821832,87.01,0.003,0.2,100,0.0001
L1,channel-wise,94.86400355740014,86.99,0.003,0.2,100,0.0001
L1,channel-wise,95.15427752661874,87.4,0.003,0.2,100,0.0001
WL1,weight-wise,8.694631784382025,90.43,0.003,0.2,100,0.0001
WL1,weight-wise,20.07213616937177,90.94,0.003,0.2,100,0.0001
WL1,weight-wise,26.028310976061665,90.43,0.003,0.2,100,0.0001
WL1,weight-wise,27.87741792040317,90.66,0.003,0.2,100,0.0001
WL1,weight-wise,28.68153857555769,90.38,0.003,0.2,100,0.0001
WL1,weight-wise,32.010425158724274,90.39,0.003,0.2,100,0.0001
WL1,weight-wise,45.52113441537588,89.13,0.003,0.2,100,0.0001
WL1,weight-wise,54.72590726055485,89.23,0.003,0.2,100,0.0001
WL1,weight-wise,69.60152177672373,89.38,0.003,0.2,100,0.0001
WL1,weight-wise,80.73569011092171,88.58,0.003,0.2,100,0.0001
WL1,weight-wise,88.2828133106055,88.69,0.003,0.2,100,0.0001
WL1,weight-wise,93.2903480817214,88.21,0.003,0.2,100,0.0001
WL1,weight-wise,93.52133204871662,89.01,0.003,0.2,100,0.0001
WL1,weight-wise,94.01170977543912,86.86,0.003,0.2,100,0.0001
WL1,weight-wise,94.12040811284864,86.03,0.003,0.2,100,0.0001
WL1,weight-wise,94.12164332122828,86.57,0.003,0.2,100,0.0001
WL1,weight-wise,94.33533437090836,86.66,0.003,0.2,100,0.0001
WL1,weight-wise,95.17157044393387,86.61,0.003,0.2,100,0.0001
WL1,kernel-wise,6.4551989920699615,89.88,0.003,0.2,100,0.0001
WL1,kernel-wise,17.249685021863186,90.57,0.003,0.2,100,0.0001
WL1,kernel-wise,37.33787890017046,90.12,0.003,0.2,100,0.0001
WL1,kernel-wise,60.77842832085773,89.87,0.003,0.2,100,0.0001
WL1,kernel-wise,71.9632401986215,89.64,0.003,0.2,100,0.0001
WL1,kernel-wise,83.19498999481213,89.54,0.003,0.2,100,0.0001
WL1,kernel-wise,89.61436794387213,87.47,0.003,0.2,100,0.0001
WL1,kernel-wise,94.74542355295338,86.88,0.003,0.2,100,0.0001
WL1,channel-wise,12.35702463005509,90.62,0.003,0.2,100,0.0001
WL1,channel-wise,37.26253118901159,90.5,0.003,0.2,100,0.0001
WL1,channel-wise,51.90098569628696,89.72,0.003,0.2,100,0.0001
WL1,channel-wise,64.6965093011191,88.72,0.003,0.2,100,0.0001
WL1,channel-wise,70.54645618715878,89.3,0.003,0.2,100,0.0001
WL1,channel-wise,76.55080412065516,88.86,0.003,0.2,100,0.0001
WL1,channel-wise,86.02361718421898,88.02,0.003,0.2,100,0.0001
WL1,channel-wise,91.56352676696558,87.6,0.003,0.2,100,0.0001
